feature,importance
Overall Qual,0.6083760952178788
Year Built,0.022356430045109163
Year Remod/Add,0.019545756905396977
Mas Vnr Area,0.013113872572676545
Total Bsmt SF,0.0479255976578573
1st Flr SF,0.05380945366318362
Gr Liv Area,0.13405798127807717
Full Bath,0.023691126783458326
Garage Yr Blt,0.011124191380596744
Garage Cars,0.019948943537893313
Garage Area,0.028131911210225735
Exter Qual_TA,0.0018104122721462892
Foundation_PConc,0.0017253746673804868
Bsmt Qual_Ex,0.003161052057612884
Kitchen Qual_Ex,0.007818324915300169
Kitchen Qual_TA,0.0034034758352064244
